City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
0,Barrow,US,71.2906,-156.7887,-11.2,70,20,13.8,2021-04-12 18:01:02,few clouds
1,Busselton,AU,-33.65,115.3333,51.01,85,96,1.01,2021-04-12 18:01:03,overcast clouds
2,Puerto Baquerizo Moreno,EC,-0.9,-89.6,84.2,70,20,5.75,2021-04-12 18:01:03,few clouds
3,Port Alfred,ZA,-33.5906,26.891,71.2,92,96,12.8,2021-04-12 18:01:03,overcast clouds
4,Hay River,CA,60.8156,-115.7999,19.4,45,29,16.11,2021-04-12 18:01:04,scattered clouds
5,Hobart,AU,-42.8794,147.3294,46.99,93,34,5.75,2021-04-12 17:58:02,scattered clouds
6,Rikitea,PF,-23.1203,-134.9692,78.26,70,13,10.36,2021-04-12 18:01:05,few clouds
7,Tilichiki,RU,60.4667,166.1,-11.63,94,27,8.39,2021-04-12 18:01:05,scattered clouds
8,Moerai,PF,-22.4333,-151.3333,79.45,79,96,15.52,2021-04-12 18:01:05,moderate rain
9,Kavieng,PG,-2.5744,150.7967,78.3,81,100,12.64,2021-04-12 18:01:06,light rain
10,Hermanus,ZA,-34.4187,19.2345,64.99,87,100,1.01,2021-04-12 18:01:06,overcast clouds
11,Erbaa,TR,40.6689,36.5675,48.2,81,75,5.75,2021-04-12 18:01:07,broken clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,75.2,46,0,11.5,2021-04-12 17:56:10,clear sky
13,Karratha,AU,-20.7377,116.8463,82.38,74,51,9.19,2021-04-12 18:01:07,broken clouds
14,Ushuaia,AR,-54.8,-68.3,50.0,40,40,8.05,2021-04-12 18:00:55,scattered clouds
15,Kanye,BW,-24.9667,25.3327,69.53,30,0,4.41,2021-04-12 18:01:08,clear sky
16,Ribeira Grande,PT,38.5167,-28.7,64.4,88,40,13.8,2021-04-12 18:01:08,scattered clouds
17,Chegdomyn,RU,51.1167,133.0167,21.56,95,100,3.51,2021-04-12 18:01:09,snow
18,Kodiak,US,57.79,-152.4072,35.6,93,1,5.88,2021-04-12 18:01:09,clear sky
19,Chernyshevskiy,RU,63.0128,112.4714,2.55,94,97,4.18,2021-04-12 18:01:09,overcast clouds
20,Katsuura,JP,35.1333,140.3,57.2,77,75,3.44,2021-04-12 18:01:10,broken clouds
21,Rognan,NO,67.0953,15.3878,36.0,60,20,8.05,2021-04-12 18:01:11,few clouds
22,Yellowknife,CA,62.456,-114.3525,12.0,85,40,14.97,2021-04-12 18:01:11,scattered clouds
23,Lebu,CL,-37.6167,-73.65,62.89,73,0,16.08,2021-04-12 18:01:11,clear sky
24,Codajas,BR,-3.8367,-62.0569,89.04,54,83,3.65,2021-04-12 18:01:12,broken clouds
25,Hobyo,SO,5.3505,48.5268,82.33,61,100,10.89,2021-04-12 18:01:13,overcast clouds
26,Pacific Grove,US,36.6177,-121.9166,53.6,76,75,6.91,2021-04-12 18:01:13,broken clouds
27,Punta Arenas,CL,-53.15,-70.9167,50.0,53,40,28.77,2021-04-12 18:01:13,scattered clouds
28,Kapaa,US,22.0752,-159.319,66.0,82,1,6.91,2021-04-12 18:01:14,clear sky
29,Nouadhibou,MR,20.931,-17.0347,78.8,44,11,17.27,2021-04-12 18:01:14,few clouds
30,Faanui,PF,-16.4833,-151.75,82.04,73,100,12.75,2021-04-12 18:01:14,overcast clouds
31,Beloha,MG,-25.1667,45.05,72.77,80,8,13.24,2021-04-12 18:01:15,clear sky
32,Sungairaya,ID,0.7,108.9,78.08,82,65,2.04,2021-04-12 18:01:15,broken clouds
33,Saskylakh,RU,71.9167,114.0833,15.4,92,82,10.94,2021-04-12 18:01:15,broken clouds
34,Oistins,BB,13.0667,-59.5333,82.4,61,75,18.41,2021-04-12 17:56:25,volcanic ash
35,Magdagachi,RU,53.45,125.8,8.85,89,49,5.5,2021-04-12 18:01:16,scattered clouds
36,Lima,PE,-12.0432,-77.0282,73.4,64,0,6.91,2021-04-12 17:59:47,clear sky
37,Norman Wells,CA,65.282,-126.8329,10.4,56,75,9.22,2021-04-12 18:01:17,broken clouds
38,Yerbogachen,RU,61.2767,108.0108,19.24,97,98,5.39,2021-04-12 18:01:17,overcast clouds
39,Nikolskoye,RU,59.7035,30.7861,59.0,33,0,8.95,2021-04-12 18:01:18,clear sky
40,Butaritari,KI,3.0707,172.7902,82.17,76,96,14.32,2021-04-12 18:01:18,light rain
41,San Patricio,US,28.017,-97.5169,87.8,55,75,13.8,2021-04-12 18:01:18,broken clouds
42,Avarua,CK,-21.2078,-159.775,71.6,94,71,1.14,2021-04-12 18:01:19,light rain
43,Fortuna,US,40.5982,-124.1573,55.0,82,1,8.05,2021-04-12 18:01:19,clear sky
44,Lazaro Cardenas,MX,17.9583,-102.2,82.13,57,1,9.51,2021-04-12 18:00:02,clear sky
45,Mahebourg,MU,-20.4081,57.7,73.4,94,75,1.14,2021-04-12 18:01:21,light rain
46,Atuona,PF,-9.8,-139.0333,79.56,79,50,16.35,2021-04-12 18:00:54,light rain
47,Kushikino,JP,31.7167,130.2667,60.01,93,100,11.01,2021-04-12 18:01:21,overcast clouds
48,Namibe,AO,-15.1961,12.1522,80.83,68,1,5.75,2021-04-12 18:01:21,clear sky
49,Bilibino,RU,68.0546,166.4372,-22.83,83,72,4.27,2021-04-12 18:01:22,broken clouds
50,Waipawa,NZ,-41.4122,175.5153,66.2,82,75,24.16,2021-04-12 18:01:22,broken clouds
51,Alexandria,EG,31.2156,29.9553,60.8,55,40,9.22,2021-04-12 17:59:35,scattered clouds
52,Cape Town,ZA,-33.9258,18.4232,66.99,88,40,12.66,2021-04-12 17:56:37,scattered clouds
53,Qaanaaq,GL,77.484,-69.3632,7.05,81,75,3.87,2021-04-12 18:01:23,broken clouds
54,Acari,PE,-15.4311,-74.6158,81.59,55,39,10.0,2021-04-12 18:01:23,scattered clouds
55,Port Hardy,CA,50.6996,-127.4199,42.8,81,20,6.91,2021-04-12 18:01:24,few clouds
56,Sur,OM,22.5667,59.5289,83.5,57,27,6.38,2021-04-12 18:01:24,scattered clouds
57,Ilulissat,GL,69.2167,-51.1,32.0,93,75,11.5,2021-04-12 18:01:24,snow
58,Bonthe,SL,7.5264,-12.505,84.34,74,43,13.02,2021-04-12 18:01:25,scattered clouds
