City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Puerto Baquerizo Moreno,EC,84.2,few clouds,-0.9,-89.6,Hotel los Algarrobos
3,Port Alfred,ZA,71.2,overcast clouds,-33.5906,26.891,The Halyards Hotel
6,Rikitea,PF,78.26,few clouds,-23.1203,-134.9692,Pension Maro'i
8,Moerai,PF,79.45,moderate rain,-22.4333,-151.3333,Le Manotel
9,Kavieng,PG,78.3,light rain,-2.5744,150.7967,Nusa Island Retreat
12,Mar Del Plata,AR,75.2,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
13,Karratha,AU,82.38,broken clouds,-20.7377,116.8463,ibis Styles Karratha
24,Codajas,BR,89.04,broken clouds,-3.8367,-62.0569,Hotel Tamires
25,Hobyo,SO,82.33,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
29,Nouadhibou,MR,78.8,few clouds,20.930999999999997,-17.0347,El Medina
30,Faanui,PF,82.04,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Beloha,MG,72.77,clear sky,-25.1667,45.05,
32,Sungairaya,ID,78.08,broken clouds,0.7,108.9,
34,Oistins,BB,82.4,volcanic ash,13.0667,-59.5333,
36,Lima,PE,73.4,clear sky,-12.0432,-77.0282,
40,Butaritari,KI,82.17,light rain,3.0707,172.7902,
41,San Patricio,US,87.8,broken clouds,28.017,-97.5169,
42,Avarua,CK,71.6,light rain,-21.2078,-159.775,
44,Lazaro Cardenas,MX,82.13,clear sky,17.9583,-102.2,
45,Mahebourg,MU,73.4,light rain,-20.4081,57.7,
46,Atuona,PF,79.56,light rain,-9.8,-139.0333,
48,Namibe,AO,80.83,clear sky,-15.1961,12.1522,
54,Acari,PE,81.59,scattered clouds,-15.4311,-74.6158,
56,Sur,OM,83.5,scattered clouds,22.5667,59.5289,
58,Bonthe,SL,84.34,scattered clouds,7.5264,-12.505,
61,Pho Chai,TH,88.0,few clouds,16.3283,103.7703,
62,Santa Lucia,ES,72.0,few clouds,27.9117,-15.5407,
65,Carnarvon,AU,74.86,broken clouds,-24.8667,113.6333,
72,Hualmay,PE,73.6,broken clouds,-11.0964,-77.6139,
76,Namatanai,PG,76.41,light rain,-3.6667,152.4333,
79,Sao Filipe,CV,76.84,scattered clouds,14.8961,-24.4956,
86,Alta Floresta,BR,91.4,scattered clouds,-9.8756,-56.0861,
91,Cap Malheureux,MU,73.4,light rain,-19.9842,57.6142,
92,Cayenne,GF,89.6,few clouds,4.9333,-52.3333,
93,Lorengau,PG,77.47,overcast clouds,-2.0226,147.2712,
94,Necochea,AR,79.0,clear sky,-38.5473,-58.7368,
95,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,
99,Richards Bay,ZA,72.79,few clouds,-28.783,32.0377,
101,Los Llanos De Aridane,ES,73.4,clear sky,28.6585,-17.9182,
105,Gizo,SB,81.19,scattered clouds,-8.103,156.8419,
107,Souillac,MU,73.4,light rain,-20.5167,57.5167,
109,Vaini,TO,71.6,few clouds,-21.2,-175.2,
110,Bandarbeyla,SO,80.22,broken clouds,9.4942,50.8122,
112,Puerto Cabezas,NI,86.0,broken clouds,14.0351,-83.3888,
113,Road Town,VG,82.4,clear sky,18.4167,-64.6167,
117,Port-Gentil,GA,84.2,few clouds,-0.7193,8.7815,
118,Arraial Do Cabo,BR,93.2,clear sky,-22.9661,-42.0278,
120,Hithadhoo,MV,83.8,broken clouds,-0.6,73.0833,
123,Hambantota,LK,79.72,broken clouds,6.1241,81.1185,
125,Kampot,KH,78.8,few clouds,10.6167,104.1833,
131,Santo Antonio Do Ica,BR,86.02,overcast clouds,-3.1022,-67.9397,
133,Vientiane,LA,91.0,broken clouds,17.9667,102.6,
134,Monrovia,LR,89.6,scattered clouds,6.3005,-10.7969,
135,Ixtapa,MX,78.8,clear sky,20.7,-105.2,
137,Kathu,TH,87.01,few clouds,7.9178,98.3332,
138,Puerto Ayora,EC,77.0,light rain,-0.7393,-90.3518,
139,Port Blair,IN,82.56,broken clouds,11.6667,92.75,
140,Tautira,PF,82.4,light rain,-17.7333,-149.15,
157,Lubao,PH,78.8,scattered clouds,14.9167,120.55,
158,Sire,NG,93.96,clear sky,12.9299,5.2043,
159,Foumban,CM,73.85,overcast clouds,5.7291,10.9001,
161,Rubiataba,BR,79.0,broken clouds,-15.1644,-49.8033,
162,Redwater,US,82.4,clear sky,33.3582,-94.2544,
166,Guanare,VE,82.36,overcast clouds,9.0418,-69.7421,
167,Bela Vista,BR,87.49,broken clouds,-22.1089,-56.5211,
172,Ewa Beach,US,73.99,clear sky,21.3156,-158.0072,
175,Arlit,NE,93.2,clear sky,18.7369,7.3853,
177,Mutis,CO,81.61,light rain,6.2262,-77.4044,
178,Biak,ID,75.43,scattered clouds,-0.9131,122.8766,
179,Victoria,HK,75.0,scattered clouds,22.2855,114.1577,
180,East London,ZA,73.4,scattered clouds,-33.0153,27.9116,
181,Hue,VN,77.0,few clouds,16.4667,107.6,
183,Neuquen,AR,80.6,clear sky,-38.9516,-68.0591,
184,Tomatlan,MX,89.35,clear sky,19.9333,-105.25,
188,Saint George,US,70.0,clear sky,37.1041,-113.5841,
190,Puerto Princesa,PH,77.77,broken clouds,9.7392,118.7353,
198,Canto Do Buriti,BR,91.17,broken clouds,-8.11,-42.9444,
200,Arica,CL,71.6,clear sky,-18.475,-70.3042,
201,Lumding,IN,75.78,few clouds,25.7535,93.1732,
203,Bayshore Gardens,US,82.0,clear sky,27.4253,-82.5904,
205,Sola,VU,81.86,overcast clouds,-13.8833,167.55,
209,Porbandar,IN,81.34,clear sky,21.6422,69.6093,
212,Bengkulu,ID,76.26,light rain,-3.8004,102.2655,
213,Buala,SB,79.5,overcast clouds,-8.145,159.5921,
221,Umm Kaddadah,SD,78.37,few clouds,13.6017,26.6876,
225,Alofi,NU,71.6,few clouds,-19.0595,-169.9187,
226,Luwuk,ID,76.57,few clouds,-0.9516,122.7875,
227,Kalemie,CD,72.52,scattered clouds,-5.9475,29.1947,
231,Nabire,ID,76.53,overcast clouds,-3.3667,135.4833,
232,Saldanha,ZA,73.4,overcast clouds,-33.0117,17.9442,
236,Bambous Virieux,MU,73.4,light rain,-20.3428,57.7575,
244,Paita,PE,86.0,clear sky,-5.0892,-81.1144,
245,Yaan,NG,93.11,broken clouds,7.3833,8.5667,
246,Keelung,TW,75.0,clear sky,25.1283,121.7419,
249,Kandrian,PG,77.99,overcast clouds,-6.2167,149.55,
250,Calvinia,ZA,79.21,scattered clouds,-31.4707,19.776,
252,Sibolga,ID,76.24,overcast clouds,1.7427,98.7792,
253,Isangel,VU,77.41,broken clouds,-19.55,169.2667,
259,Cockburn Town,TC,77.02,clear sky,21.4612,-71.1419,
260,Castro,BR,75.16,few clouds,-24.7911,-50.0119,
266,Galesong,ID,73.4,few clouds,-5.3166,119.3661,
268,Pasni,PK,79.29,clear sky,25.2631,63.471000000000004,
269,Ormara,PK,80.17,clear sky,25.2088,64.6357,
270,Sibu,MY,73.4,scattered clouds,2.3,111.8167,
273,Georgetown,MY,80.6,few clouds,5.4112,100.3354,
278,Santarem,BR,86.0,few clouds,-2.4431,-54.7083,
280,Cidreira,BR,71.96,overcast clouds,-30.1811,-50.2056,
283,Dingle,PH,76.62,light rain,10.9995,122.6711,
284,Robertsport,LR,82.9,clear sky,6.7533,-11.3686,
287,Sambava,MG,78.17,light rain,-14.2667,50.1667,
289,San Cristobal,VE,93.2,scattered clouds,7.7669,-72.225,
290,Yagoua,CM,94.71,broken clouds,10.3411,15.2329,
291,Urucara,BR,89.89,broken clouds,-2.5364,-57.76,
293,Itarema,BR,83.77,scattered clouds,-2.9248,-39.9167,
294,Binga,ZW,74.66,few clouds,-17.6203,27.3414,
295,Riyadh,SA,91.4,clear sky,24.6877,46.7219,
296,Malakal,SS,85.89,overcast clouds,9.5334,31.6605,
298,Maceio,BR,75.2,overcast clouds,-9.6658,-35.7353,
299,Huarmey,PE,73.96,broken clouds,-10.0681,-78.1522,
300,Rawson,AR,76.87,broken clouds,-43.3002,-65.1023,
302,Japura,ID,73.78,broken clouds,-0.3167,102.35,
303,Tura,IN,75.07,clear sky,25.5198,90.2201,
304,Sao Joao Da Barra,BR,91.4,few clouds,-21.6403,-41.0511,
308,Tezu,IN,75.94,scattered clouds,27.9167,96.1667,
309,Puerto Escondido,MX,87.8,few clouds,15.85,-97.0667,
310,Bage,BR,75.2,scattered clouds,-31.3314,-54.1069,
311,Kudahuvadhoo,MV,83.46,broken clouds,2.6708,72.8944,
312,Narowal,PK,77.0,haze,32.1,74.8833,
315,Eyl,SO,80.47,broken clouds,7.9803,49.8164,
317,Autazes,BR,90.66,broken clouds,-3.5797,-59.1306,
322,Buta,CD,74.62,overcast clouds,2.7858,24.73,
324,Abu Dhabi,AE,87.8,clear sky,24.4667,54.3667,
327,Axim,GH,82.69,broken clouds,4.8699,-2.2405,
330,Vaitape,PF,82.02,overcast clouds,-16.5167,-151.75,
337,Bongandanga,CD,72.75,broken clouds,1.5,21.05,
338,Saint-Pierre,RE,78.8,moderate rain,-21.3393,55.4781,
339,Trelew,AR,79.75,broken clouds,-43.248999999999995,-65.3051,
341,Popondetta,PG,72.05,overcast clouds,-8.7537,148.2534,
342,Labuhan,ID,77.41,broken clouds,-6.8844,112.2051,
344,Impfondo,CG,75.6,broken clouds,1.6381,18.0667,
346,Canapi,BR,83.93,overcast clouds,-9.1174,-37.6012,
347,Ayapel,CO,93.36,broken clouds,8.3137,-75.1398,
349,Rio Grande,BR,77.0,broken clouds,-32.035,-52.0986,
359,Awbari,LY,85.23,broken clouds,26.5921,12.7805,
360,Acarau,BR,83.82,scattered clouds,-2.8856,-40.12,
362,The Valley,AI,84.2,few clouds,18.217,-63.0578,
366,Benjamin Constant,BR,91.4,scattered clouds,-4.3831,-70.0311,
367,Keti Bandar,PK,80.01,clear sky,24.1447,67.4497,
368,Jati,PK,80.62,clear sky,24.3539,68.2671,
371,Grand Gaube,MU,73.4,light rain,-20.0064,57.6608,
378,Sao Francisco,BR,92.68,scattered clouds,-15.9486,-44.8644,
383,Constitucion,CL,70.45,clear sky,-35.3333,-72.4167,
386,Pagudpud,PH,75.2,few clouds,18.5616,120.7868,
388,Wajir,KE,77.0,clear sky,1.7471,40.0573,
391,Vila Velha,BR,88.0,few clouds,-20.3297,-40.2925,
392,Nishihara,JP,73.0,mist,26.1842,127.7558,
399,Guatire,VE,79.0,scattered clouds,10.4762,-66.5427,
402,Nortelandia,BR,90.79,moderate rain,-14.4547,-56.8028,
412,Arona,ES,73.0,scattered clouds,28.0996,-16.680999999999997,
414,Luanda,AO,86.0,light rain,-8.8368,13.2343,
416,Tabuk,PH,72.36,broken clouds,17.4189,121.4443,
418,Kahului,US,71.6,light rain,20.8947,-156.47,
421,Nioki,CD,74.3,scattered clouds,-2.7167,17.6833,
422,Taft,IR,77.0,scattered clouds,31.7471,54.2088,
425,Gaya,IN,77.0,haze,24.7833,85.0,
426,Tual,ID,83.01,scattered clouds,-5.6667,132.75,
428,Planaltina,BR,82.4,scattered clouds,-15.4528,-47.6142,
431,Cabra,ES,73.4,clear sky,37.4725,-4.4421,
432,Praia,CV,82.4,clear sky,14.9215,-23.5087,
433,Puerto Madryn,AR,77.11,few clouds,-42.7692,-65.0385,
435,Bambanglipuro,ID,78.03,overcast clouds,-7.95,110.2833,
439,Marsh Harbour,BS,75.27,few clouds,26.5412,-77.0636,
445,Kismayo,SO,82.98,few clouds,-0.3582,42.5454,
446,Moussoro,TD,91.87,overcast clouds,13.6408,16.4901,
447,Bhayavadar,IN,84.43,clear sky,21.85,70.25,
448,Rosario,AR,75.2,clear sky,-32.9468,-60.6393,
452,Begang,PH,77.0,scattered clouds,6.6909,122.0168,
453,Phalaborwa,ZA,77.0,clear sky,-23.943,31.1411,
454,Mecca,SA,77.9,clear sky,21.4267,39.8261,
458,Tadine,NC,76.48,moderate rain,-21.55,167.8833,
460,Salalah,OM,82.4,few clouds,17.0151,54.0924,
461,Manaure,CO,82.94,overcast clouds,11.7751,-72.4445,
462,Cabo San Lucas,MX,78.8,clear sky,22.8909,-109.9124,
466,Villa Carlos Paz,AR,77.0,clear sky,-31.4241,-64.4978,
470,Macapa,BR,89.6,scattered clouds,0.0389,-51.0664,
471,Shahpur,IN,87.85,scattered clouds,16.7,76.8333,
472,Owando,CG,75.16,broken clouds,-0.4819,15.8999,
473,Vila Do Maio,CV,82.4,clear sky,15.1333,-23.2167,
474,Darab,IR,71.56,broken clouds,28.7519,54.5444,
476,Tatui,BR,86.0,clear sky,-23.3556,-47.8569,
