City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Descripion
0,Luwuk,ID,-0.9516,122.7875,76.8,85,20,2.35,2021-04-12 17:23:44,few clouds
1,Vaini,TO,-21.2,-175.2,71.6,88,20,5.75,2021-04-12 17:23:44,few clouds
2,Saldanha,ZA,-33.0117,17.9442,73.4,49,100,9.22,2021-04-12 17:20:02,overcast clouds
3,Airai,TL,-8.9266,125.4092,56.91,83,83,2.21,2021-04-12 17:23:45,broken clouds
4,Itupiranga,BR,-5.1347,-49.3267,93.2,59,40,6.91,2021-04-12 17:23:37,scattered clouds
5,Hobart,AU,-42.8794,147.3294,48.2,93,75,5.75,2021-04-12 17:20:23,broken clouds
6,Ushuaia,AR,-54.8,-68.3,50.0,40,40,8.05,2021-04-12 17:23:46,scattered clouds
7,Maragogi,BR,-9.0122,-35.2225,82.83,70,96,7.92,2021-04-12 17:23:46,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,48.99,94,98,1.99,2021-04-12 17:23:47,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,95,8.05,2021-04-12 17:23:47,overcast clouds
10,Kodiak,US,57.79,-152.4072,35.6,93,1,5.14,2021-04-12 17:23:47,clear sky
11,Thompson,CA,55.7435,-97.8558,21.2,53,90,18.41,2021-04-12 17:23:48,overcast clouds
12,Constitucion,CL,-35.3333,-72.4167,69.8,55,1,14.9,2021-04-12 17:23:48,clear sky
13,Santa Isabel,BR,-23.3156,-46.2214,84.2,57,0,11.5,2021-04-12 17:20:48,clear sky
14,Roma,US,43.2128,-75.4557,50.0,62,90,14.97,2021-04-12 17:21:21,overcast clouds
15,Balabac,PH,7.9868,117.0645,80.69,79,49,3.49,2021-04-12 17:23:49,scattered clouds
16,Cape Town,ZA,-33.9258,18.4232,66.99,88,40,12.66,2021-04-12 17:21:40,scattered clouds
17,Provideniya,RU,64.3833,-173.3,12.45,90,100,17.22,2021-04-12 17:23:49,overcast clouds
18,Albany,US,42.6001,-73.9662,53.01,68,100,1.01,2021-04-12 17:23:50,overcast clouds
19,Shiyan,CN,32.6475,110.7781,63.28,65,100,0.18,2021-04-12 17:23:50,overcast clouds
20,Valle De Allende,MX,26.9333,-105.4,76.35,11,8,3.47,2021-04-12 17:23:50,clear sky
21,Andreapol,RU,56.6513,32.2664,50.41,56,100,9.46,2021-04-12 17:23:51,light rain
22,Lebu,CL,-37.6167,-73.65,63.1,73,0,15.35,2021-04-12 17:23:51,clear sky
23,Punta Arenas,CL,-53.15,-70.9167,50.0,53,40,28.77,2021-04-12 17:20:07,scattered clouds
24,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,70.34,52,0,5.7,2021-04-12 17:23:52,clear sky
25,Caohai,CN,26.8661,104.2841,50.59,87,34,6.29,2021-04-12 17:23:52,scattered clouds
26,Guerrero Negro,MX,27.9769,-114.0611,63.91,61,3,13.53,2021-04-12 17:23:52,clear sky
27,Margate,GB,51.3813,1.3862,48.0,60,34,1.01,2021-04-12 17:23:53,scattered clouds
28,Hithadhoo,MV,-0.6,73.0833,83.95,69,72,10.51,2021-04-12 17:21:14,broken clouds
29,Alice Springs,AU,-23.7,133.8833,57.0,62,92,2.3,2021-04-12 17:20:52,overcast clouds
30,Pontianak,ID,-0.0333,109.3333,75.92,88,81,0.81,2021-04-12 17:23:54,broken clouds
31,Georgetown,MY,5.4112,100.3354,82.0,89,20,3.44,2021-04-12 17:23:54,few clouds
32,Chokurdakh,RU,70.6333,147.9167,-0.09,85,100,12.68,2021-04-12 17:23:55,overcast clouds
33,College,US,64.8569,-147.8028,32.0,59,90,1.28,2021-04-12 17:23:55,overcast clouds
34,Traverse City,US,44.7631,-85.6206,53.6,94,90,2.1,2021-04-12 17:23:55,overcast clouds
35,Popondetta,PG,-8.7537,148.2534,72.59,93,99,2.62,2021-04-12 17:23:56,overcast clouds
