City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Alofi,-19.0595,-169.9187,78.8,83,54,4.61,NU,2021-04-12 04:46:11
1,Urumqi,43.801,87.6005,59.0,15,0,4.47,CN,2021-04-12 04:46:12
2,Lianzhou,24.7811,112.3825,83.25,57,64,7.18,CN,2021-04-12 04:46:12
3,Qaanaaq,77.484,-69.3632,15.46,93,100,6.26,GL,2021-04-12 04:46:12
4,Husavik,66.0449,-17.3389,30.2,93,0,4.61,IS,2021-04-12 04:46:13
5,Saint-Philippe,-21.3585,55.7679,82.4,69,0,4.61,RE,2021-04-12 04:46:13
6,San Jeronimo,-11.9472,-75.2829,50.34,86,99,2.42,PE,2021-04-12 04:46:14
7,Mataura,-46.1927,168.8643,62.01,84,100,3.0,NZ,2021-04-12 04:46:14
8,Puerto Ayora,-0.7393,-90.3518,75.16,91,63,2.93,EC,2021-04-12 04:46:15
9,Yellowknife,62.456,-114.3525,1.4,85,75,6.91,CA,2021-04-12 04:43:09
10,Weligama,5.9667,80.4167,86.63,59,37,2.95,LK,2021-04-12 04:46:16
11,Albany,42.6001,-73.9662,53.01,62,100,1.01,US,2021-04-12 04:46:16
12,Hofn,64.2539,-15.2082,39.04,70,100,8.32,IS,2021-04-12 04:46:17
13,Nizwa,22.9333,57.5333,83.28,34,0,4.12,OM,2021-04-12 04:46:17
14,Kapaa,22.0752,-159.319,73.4,60,40,18.41,US,2021-04-12 04:46:17
15,Ribeira Grande,38.5167,-28.7,61.45,91,69,17.16,PT,2021-04-12 04:36:37
16,Ancud,-41.8697,-73.8203,59.0,100,90,12.66,CL,2021-04-12 04:37:14
17,Lata,40.1629,-8.3327,52.0,79,89,10.0,PT,2021-04-12 04:46:18
18,Inta,66.0317,60.1659,32.63,94,89,24.63,RU,2021-04-12 04:46:18
19,Aras,42.5617,-2.356,37.4,87,90,6.91,ES,2021-04-12 04:46:19
20,Shimsk,58.212,30.7127,47.3,77,96,9.48,RU,2021-04-12 04:46:19
